state,region,population_millions,recent_cases,incidence_per_100k,risk_score,risk_category,incidence_component,trend_component,population_component
Maharashtra,West,127.0,213,167.7,57.9,HIGH,45.0,0.2,12.7
Uttar Pradesh,Central,235.0,180,76.6,55.2,HIGH,35.0,0.2,20.0
Arunachal Pradesh,Northeast,1.6,7,437.5,54.4,HIGH,45.0,9.2,0.2
Rajasthan,North,82.4,84,101.9,53.3,HIGH,45.0,0.1,8.2
Tamil Nadu,South,78.9,433,548.8,53.1,HIGH,45.0,0.2,7.9
Gujarat,West,71.5,76,106.3,52.3,HIGH,45.0,0.1,7.2
Karnataka,South,69.0,162,234.8,52.0,HIGH,45.0,0.1,6.9
Odisha,East,46.4,55,118.5,49.7,MODERATE,45.0,0.1,4.6
Telangana,South,39.4,157,398.5,49.2,MODERATE,45.0,0.2,3.9
Kerala,South,35.6,202,567.4,48.7,MODERATE,45.0,0.2,3.6
Punjab,North,31.3,100,319.5,48.4,MODERATE,45.0,0.2,3.1
Haryana,North,30.4,51,167.8,48.2,MODERATE,45.0,0.1,3.0
Bihar,East,127.0,90,70.9,47.8,MODERATE,35.0,0.1,12.7
Delhi,North,20.8,79,379.8,47.2,MODERATE,45.0,0.1,2.1
Uttrakhand,Other,10.0,18,180.0,46.6,MODERATE,45.0,0.6,1.0
J & K,North,14.1,59,418.4,46.5,MODERATE,45.0,0.1,1.4
Puduchery,Other,10.0,14,140.0,46.1,MODERATE,45.0,0.1,1.0
Manipur,Northeast,3.2,113,3531.2,46.0,MODERATE,45.0,0.7,0.3
Tripura,Northeast,4.2,11,261.9,45.6,MODERATE,45.0,0.1,0.4
Mizoram,Northeast,1.3,17,1307.7,45.5,MODERATE,45.0,0.4,0.1
Sikkim,East,0.7,3,428.6,45.2,MODERATE,45.0,0.2,0.1
Goa,West,1.6,2,125.0,45.2,MODERATE,45.0,0.1,0.2
Lakshadweep,South,0.08,2,2500.0,45.1,MODERATE,45.0,0.1,0.0
Madhya Pradesh,Central,87.6,45,51.4,43.8,MODERATE,35.0,0.1,8.8
Andhra Pradesh,South,53.9,44,81.6,40.5,MODERATE,35.0,0.1,5.4
A& N Island,Other,10.0,6,60.0,37.8,MODERATE,35.0,1.8,1.0
Himachal Pradesh,North,7.4,4,54.1,35.8,MODERATE,35.0,0.0,0.7
Chandigarh,North,1.2,1,83.3,35.2,MODERATE,35.0,0.1,0.1
Assam,Northeast,35.6,12,33.7,28.6,MODERATE,25.0,0.1,3.6
Chattisgarh,Central,29.4,8,27.2,28.0,MODERATE,25.0,0.0,2.9
D&N Haveli,Other,10.0,3,30.0,26.2,MODERATE,25.0,0.2,1.0
Nagaland,Northeast,2.3,1,43.5,26.1,MODERATE,25.0,0.9,0.2
Meghalaya,Northeast,3.8,1,26.3,25.8,MODERATE,25.0,0.4,0.4
West Bengal*,East,101.0,19,18.8,25.3,MODERATE,15.0,0.2,10.1
Jharkhand,East,39.4,6,15.2,19.0,LOW,15.0,0.1,3.9
