state,forecast_cases,health_index_2019_20,risk_score,risk_category
West Bengal,1658.0,51.290000000000006,100.0,High
Tamil Nadu,1411.0,69.14,74.8,High
Karnataka,1059.0,49.26,73.2,High
Maharashtra,1097.0,57.93,68.2,Moderate
Delhi,847.0,51.88,56.8,Moderate
Rajasthan,694.0,41.33,53.0,Moderate
Andhra Pradesh,602.0,31.0,52.6,Moderate
Kerala,1136.0,82.2,50.1,Moderate
Haryana,689.0,44.31,50.0,Moderate
Gujarat,617.0,44.21,43.1,Moderate
Telangana,603.0,47.55,38.8,Low
Odisha,485.0,58.08,16.2,Low
Uttar Pradesh,435.0,50.7,15.5,Low
Punjab,551.0,69.95,14.4,Low
Bihar,454.0,72.42,0.0,Low
