state,year,month,cases,deaths,temperature_c,rainfall_mm,humidity_pct,population_millions,incidence_per_100k
Karnataka,2015,1,143,0,34.0,13.2,47.9,67,213.43283582089555
Karnataka,2015,2,270,0,33.3,0.6,54.2,67,402.98507462686564
Karnataka,2015,3,168,0,30.1,2.0,58.1,67,250.74626865671644
Karnataka,2015,4,126,0,28.3,5.7,62.2,67,188.05970149253733
Karnataka,2015,5,165,0,28.4,6.1,28.8,67,246.2686567164179
Karnataka,2015,6,856,1,34.4,9.0,51.8,67,1277.6119402985073
Karnataka,2015,7,1270,2,26.2,156.8,64.8,67,1895.5223880597014
Karnataka,2015,8,2861,3,30.5,89.5,100.0,67,4270.149253731343
Karnataka,2015,9,1243,1,30.2,200.2,64.9,67,1855.2238805970148
Karnataka,2015,10,2082,5,26.6,304.3,63.7,67,3107.4626865671644
Karnataka,2015,11,1587,3,29.3,0.1,59.2,67,2368.6567164179105
Karnataka,2015,12,829,1,35.6,14.8,46.9,67,1237.3134328358208
Karnataka,2016,1,199,0,33.3,4.0,64.6,67,297.0149253731343
Karnataka,2016,2,229,0,30.4,13.1,62.5,67,341.7910447761194
Karnataka,2016,3,328,0,33.4,14.3,40.3,67,489.55223880597015
Karnataka,2016,4,206,0,33.4,7.4,44.0,67,307.46268656716416
Karnataka,2016,5,275,0,32.3,3.8,45.5,67,410.44776119402985
Karnataka,2016,6,1312,1,32.1,5.3,38.2,67,1958.2089552238806
Karnataka,2016,7,1981,5,25.6,139.4,80.0,67,2956.7164179104475
Karnataka,2016,8,2213,6,26.4,237.0,88.7,67,3302.9850746268658
Karnataka,2016,9,1923,5,25.9,153.7,87.7,67,2870.149253731343
Karnataka,2016,10,1925,3,28.0,161.8,71.0,67,2873.1343283582087
Karnataka,2016,11,1055,3,31.4,7.3,56.1,67,1574.6268656716418
Karnataka,2016,12,635,1,37.6,32.8,49.7,67,947.7611940298507
Karnataka,2017,1,253,0,32.2,0.5,86.9,67,377.6119402985075
Karnataka,2017,2,219,0,31.0,1.6,55.1,67,326.86567164179104
Karnataka,2017,3,172,0,36.6,2.7,61.3,67,256.7164179104478
Karnataka,2017,4,225,0,37.5,10.0,36.8,67,335.82089552238807
Karnataka,2017,5,367,0,28.0,0.4,41.5,67,547.7611940298507
Karnataka,2017,6,762,1,35.5,7.2,59.7,67,1137.3134328358208
Karnataka,2017,7,1124,1,25.2,375.4,71.1,67,1677.6119402985073
Karnataka,2017,8,4712,6,30.4,88.9,88.6,67,7032.835820895522
Karnataka,2017,9,1696,4,28.8,268.8,88.0,67,2531.3432835820895
Karnataka,2017,10,2836,2,28.8,218.5,77.3,67,4232.835820895522
Karnataka,2017,11,1545,3,33.2,0.1,39.3,67,2305.9701492537315
Karnataka,2017,12,826,1,27.1,10.6,61.0,67,1232.8358208955224
Karnataka,2018,1,261,0,36.6,10.5,37.7,67,389.55223880597015
Karnataka,2018,2,182,0,35.8,1.0,29.5,67,271.6417910447761
Karnataka,2018,3,330,0,31.7,22.3,55.1,67,492.5373134328358
Karnataka,2018,4,227,0,34.2,8.6,28.9,67,338.8059701492537
Karnataka,2018,5,221,0,27.7,28.2,57.2,67,329.85074626865674
Karnataka,2018,6,1451,2,35.0,33.1,43.2,67,2165.6716417910447
Karnataka,2018,7,1576,3,26.7,278.2,82.1,67,2352.2388059701493
Karnataka,2018,8,2335,5,25.3,198.4,85.6,67,3485.0746268656712
Karnataka,2018,9,1918,5,31.2,303.9,84.1,67,2862.686567164179
Karnataka,2018,10,2092,3,29.5,342.6,84.9,67,3122.3880597014927
Karnataka,2018,11,1571,3,35.0,1.0,42.7,67,2344.7761194029854
Karnataka,2018,12,998,1,24.8,8.9,55.4,67,1489.55223880597
Karnataka,2019,1,294,0,36.4,7.4,39.3,67,438.8059701492537
Karnataka,2019,2,130,0,41.6,10.1,77.7,67,194.02985074626866
Karnataka,2019,3,231,0,32.7,3.2,38.1,67,344.77611940298505
Karnataka,2019,4,208,0,28.9,1.9,74.9,67,310.44776119402985
Karnataka,2019,5,316,0,29.4,12.5,31.1,67,471.64179104477614
Karnataka,2019,6,760,1,33.5,9.5,74.8,67,1134.3283582089553
Karnataka,2019,7,605,0,26.5,161.5,93.7,67,902.9850746268658
