year,month,cases,temperature_c,rainfall_mm,humidity_pct,population_millions,incidence_per_100k
1991,1,135,21.4,6.6,52.7,1400,9.642857142857144
1991,2,121,28.3,0.0,62.7,1400,8.642857142857142
1991,3,175,36.6,14.7,39.4,1400,12.5
1991,4,127,37.9,45.8,26.7,1400,9.071428571428571
1991,5,274,30.8,71.5,42.3,1400,19.57142857142857
1991,6,738,36.2,26.1,38.8,1400,52.714285714285715
1991,7,689,27.4,174.2,92.8,1400,49.214285714285715
1991,8,1045,28.0,209.4,81.1,1400,74.64285714285714
1991,9,1298,24.1,117.3,79.6,1400,92.71428571428572
1991,10,975,29.8,140.4,65.3,1400,69.64285714285714
1991,11,469,26.2,0.8,58.2,1400,33.5
1991,12,237,19.3,0.0,61.1,1400,16.92857142857143
1992,1,62,25.7,7.9,46.6,1400,4.428571428571428
1992,2,51,23.3,1.0,64.8,1400,3.642857142857143
1992,3,90,39.1,21.8,57.0,1400,6.428571428571428
1992,4,93,37.4,72.8,49.1,1400,6.642857142857143
1992,5,90,37.5,25.3,41.4,1400,6.428571428571428
1992,6,245,35.1,13.6,27.1,1400,17.5
1992,7,285,27.0,346.8,80.6,1400,20.357142857142858
1992,8,593,28.4,201.5,83.4,1400,42.35714285714286
1992,9,505,25.1,266.8,80.1,1400,36.07142857142857
1992,10,270,28.7,193.2,75.7,1400,19.28571428571429
1992,11,209,23.6,2.7,57.6,1400,14.92857142857143
1992,12,106,14.3,3.9,54.7,1400,7.571428571428572
1993,1,216,23.2,0.2,66.4,1400,15.428571428571427
1993,2,249,25.2,1.4,45.9,1400,17.785714285714285
1993,3,364,41.6,7.8,38.2,1400,26.0
1993,4,431,37.6,23.5,40.6,1400,30.78571428571429
1993,5,474,36.4,8.6,63.6,1400,33.85714285714286
1993,6,839,32.3,16.4,51.7,1400,59.92857142857143
1993,7,1381,30.6,99.2,79.5,1400,98.64285714285714
1993,8,1613,30.4,403.7,71.1,1400,115.21428571428571
1993,9,2310,28.7,167.3,79.9,1400,165.0
1993,10,1726,29.7,252.7,68.3,1400,123.28571428571429
1993,11,744,24.6,6.0,66.6,1400,53.142857142857146
1993,12,393,25.9,4.8,59.1,1400,28.07142857142857
1994,1,144,19.0,0.7,54.2,1400,10.285714285714285
1994,2,157,23.1,8.9,63.3,1400,11.214285714285714
1994,3,216,43.2,39.6,34.7,1400,15.428571428571427
1994,4,226,34.6,20.8,53.9,1400,16.142857142857142
1994,5,330,30.5,15.0,55.3,1400,23.57142857142857
1994,6,666,35.3,39.8,66.2,1400,47.57142857142857
1994,7,907,25.7,274.2,82.5,1400,64.78571428571429
1994,8,1168,30.8,345.4,73.2,1400,83.42857142857143
1994,9,1619,35.7,300.6,87.1,1400,115.64285714285714
1994,10,1163,28.4,129.7,66.0,1400,83.07142857142857
1994,11,557,22.3,2.2,61.9,1400,39.785714285714285
1994,12,235,20.1,0.2,65.9,1400,16.785714285714285
1995,1,140,24.7,0.0,76.4,1400,10.0
1995,2,172,13.9,9.0,56.9,1400,12.285714285714286
1995,3,209,34.7,36.0,55.4,1400,14.92857142857143
1995,4,223,34.0,30.9,25.7,1400,15.928571428571429
1995,5,324,37.8,105.8,57.4,1400,23.142857142857142
1995,6,562,31.2,18.6,67.5,1400,40.14285714285714
1995,7,579,26.0,207.1,68.0,1400,41.35714285714286
1995,8,1780,30.6,219.7,74.3,1400,127.14285714285714
1995,9,1868,28.0,142.6,81.7,1400,133.42857142857142
1995,10,1141,28.1,310.4,79.0,1400,81.5
1995,11,796,17.0,2.1,53.5,1400,56.85714285714286
1995,12,342,23.1,0.1,48.8,1400,24.428571428571427
1996,1,302,25.4,0.1,64.0,1400,21.571428571428573
1996,2,345,25.3,0.8,61.3,1400,24.642857142857146
1996,3,554,36.8,22.9,46.4,1400,39.57142857142858
1996,4,448,38.5,75.5,39.7,1400,32.0
1996,5,1004,35.1,41.4,41.3,1400,71.71428571428572
1996,6,1268,33.2,93.8,57.8,1400,90.57142857142857
1996,7,1704,25.6,382.1,84.3,1400,121.71428571428571
1996,8,2677,28.0,72.6,92.2,1400,191.21428571428572
1996,9,2918,27.4,280.8,73.5,1400,208.42857142857142
1996,10,2321,28.4,299.1,85.0,1400,165.78571428571428
1996,11,1063,16.4,9.8,47.8,1400,75.92857142857142
1996,12,639,23.2,1.8,69.8,1400,45.64285714285714
1997,1,23,18.0,0.0,58.2,1400,1.6428571428571428
1997,2,20,24.1,0.8,70.3,1400,1.4285714285714286
1997,3,36,35.0,25.5,35.7,1400,2.571428571428571
1997,4,49,36.2,15.2,67.3,1400,3.5000000000000004
1997,5,67,35.6,109.8,35.3,1400,4.785714285714286
1997,6,91,30.9,53.5,23.3,1400,6.5
1997,7,148,31.8,351.8,73.4,1400,10.571428571428571
1997,8,236,31.0,317.4,76.9,1400,16.857142857142858
1997,9,280,27.1,92.9,88.8,1400,20.0
1997,10,184,28.6,56.0,70.8,1400,13.142857142857142
1997,11,94,22.2,7.9,50.5,1400,6.714285714285714
1997,12,51,17.7,28.7,53.6,1400,3.642857142857143
1998,1,15,17.5,4.0,58.3,1400,1.0714285714285714
1998,2,12,28.2,2.7,56.2,1400,0.8571428571428572
1998,3,28,40.3,18.4,56.7,1400,2.0
1998,4,26,37.6,15.2,40.9,1400,1.8571428571428572
1998,5,41,29.7,6.0,20.5,1400,2.928571428571429
1998,6,58,28.5,14.3,61.0,1400,4.142857142857142
1998,7,65,27.9,277.3,77.7,1400,4.642857142857143
1998,8,150,25.1,220.3,77.4,1400,10.714285714285714
1998,9,149,26.1,182.1,69.5,1400,10.642857142857142
1998,10,144,27.4,188.3,74.2,1400,10.285714285714285
